2023-02-14 13:18:47,637 - NOPCOMMERCE -INFO - URL is opened
2023-02-14 13:18:48,193 - NOPCOMMERCE -INFO - Entered Credentials
2023-02-14 13:18:54,563 - NOPCOMMERCE -INFO - Clicked on Login
2023-02-14 13:18:54,584 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,606 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,620 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,632 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,646 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,668 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,680 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,713 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,725 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,738 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,749 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,766 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,781 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,799 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,812 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,831 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,850 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,863 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,873 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,887 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,899 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,913 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,958 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,972 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:54,984 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,015 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,034 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,099 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,109 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,120 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,130 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,140 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,149 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,149 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,176 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,188 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,198 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,207 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,215 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,294 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,308 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,315 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,315 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,330 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,346 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,346 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,362 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,377 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,393 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,409 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,409 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
2023-02-14 13:18:55,425 - NOPCOMMERCE -INFO - Title is Same, Successfully Logged In
