2023-02-14 13:18:47,637 [main] INFO NOPCOMMERCE - URL is opened
2023-02-14 13:18:48,193 [main] INFO NOPCOMMERCE - Entered Credentials
2023-02-14 13:18:54,563 [main] INFO NOPCOMMERCE - Clicked on Login
2023-02-14 13:18:54,584 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
2023-02-14 13:18:54,606 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
2023-02-14 13:18:54,620 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
2023-02-14 13:18:54,632 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
2023-02-14 13:18:54,646 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
2023-02-14 13:18:54,668 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
2023-02-14 13:18:54,680 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
2023-02-14 13:18:54,713 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
2023-02-14 13:18:54,725 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
2023-02-14 13:18:54,738 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
2023-02-14 13:18:54,749 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
2023-02-14 13:18:54,766 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
2023-02-14 13:18:54,781 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
2023-02-14 13:18:54,799 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
2023-02-14 13:18:54,812 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
2023-02-14 13:18:54,831 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
2023-02-14 13:18:54,850 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
2023-02-14 13:18:54,863 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
2023-02-14 13:18:54,873 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
2023-02-14 13:18:54,887 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
2023-02-14 13:18:54,899 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
2023-02-14 13:18:54,913 [main] INFO NOPCOMMERCE - Title is Same, Successfully Logged In
